car_model,car_type,car_year,car_mileage,car_location,car_price,car_link,car_transmission
KIJANG INNOVA G 2.0,Toyota,2013,135.311 km,Tangerang Selatan,165.000.000,https://carsome.id/beli-mobil-bekas/toyota/kijang-innova/2013-toyota-kijang-innova-g-2.0/ctm7000,Automatic
XPANDER ULTIMATE 1.5,Mitsubishi,2018,70.048 km,Bekasi,208.000.000,https://carsome.id/beli-mobil-bekas/mitsubishi/xpander/2018-mitsubishi-xpander-ultimate-1.5/cfo7000,Automatic
AVANZA VELOZ 1.3,Toyota,2021,20.292 km,Bekasi,196.000.000,https://carsome.id/beli-mobil-bekas/toyota/avanza/2021-toyota-avanza-veloz-1.3/cwq8000,Manual
AVANZA G 1.5,Toyota,2020,46.156 km,Bekasi,172.000.000,https://carsome.id/beli-mobil-bekas/toyota/avanza/2020-toyota-avanza-g-1.5/c3s8000,Manual
RUSH G 1.5,Toyota,2018,59.059 km,Tangerang Selatan,194.000.000,https://carsome.id/beli-mobil-bekas/toyota/rush/2018-toyota-rush-g-1.5/ckr8000,Automatic
RUSH S TRD SPORTIVO 1.5,Toyota,2019,72.486 km,Tangerang Selatan,204.000.000,https://carsome.id/beli-mobil-bekas/toyota/rush/2019-toyota-rush-s-trd-sportivo-1.5/ciw8000,Automatic
CALYA G 1.2,Toyota,2021,71.547 km,Jakarta Utara,132.000.000,https://carsome.id/beli-mobil-bekas/toyota/calya/2021-toyota-calya-g-1.2/c019000,Manual
AVANZA VELOZ 1.5,Toyota,2021,73.182 km,Jakarta Utara,196.000.000,https://carsome.id/beli-mobil-bekas/toyota/avanza/2021-toyota-avanza-veloz-1.5/cj39000,Automatic
YARIS S TRD 1.5,Toyota,2020,57.165 km,Jakarta Utara,211.000.000,https://carsome.id/beli-mobil-bekas/toyota/yaris/2020-toyota-yaris-s-trd-1.5/cr79000,Automatic
YARIS S TRD 1.5,Toyota,2018,87.687 km,Jakarta Utara,196.000.000,https://carsome.id/beli-mobil-bekas/toyota/yaris/2018-toyota-yaris-s-trd-1.5/c079000,Automatic
CALYA G 1.2,Toyota,2016,118.314 km,Tangerang Selatan,102.000.000,https://carsome.id/beli-mobil-bekas/toyota/calya/2016-toyota-calya-g-1.2/cq89000,Automatic
BRIO SATYA E 1.2,Honda,2019,31.796 km,Jakarta Utara,147.000.000,https://carsome.id/beli-mobil-bekas/honda/brio/2019-honda-brio-satya-e-1.2/c0n9000,Automatic
IGNIS GL 1.2,Suzuki,2017,73.428 km,Tangerang Selatan,116.000.000,https://carsome.id/beli-mobil-bekas/suzuki/ignis/2017-suzuki-ignis-gl-1.2/c0m9000,Automatic
CALYA G 1.2,Toyota,2020,23.727 km,Bekasi,127.000.000,https://carsome.id/beli-mobil-bekas/toyota/calya/2020-toyota-calya-g-1.2/cik9000,Manual
BRIO SATYA E 1.2,Honda,2021,38.861 km,Tangerang Selatan,156.000.000,https://carsome.id/beli-mobil-bekas/honda/brio/2021-honda-brio-satya-e-1.2/cdl9000,Automatic
XENIA R 1.3,Daihatsu,2021,47.728 km,Bekasi,183.000.000,https://carsome.id/beli-mobil-bekas/daihatsu/xenia/2021-daihatsu-xenia-r-1.3/cvl9000,Automatic
BRIO SATYA E 1.2,Honda,2021,72.445 km,Jakarta Utara,154.000.000,https://carsome.id/beli-mobil-bekas/honda/brio/2021-honda-brio-satya-e-1.2/c7m9000,Automatic
BRIO SATYA E 1.2,Honda,2021,56.834 km,Bekasi,154.000.000,https://carsome.id/beli-mobil-bekas/honda/brio/2021-honda-brio-satya-e-1.2/cnn9000,Automatic
BRIO SATYA E 1.2,Honda,2022,28.337 km,Jakarta Utara,167.000.000,https://carsome.id/beli-mobil-bekas/honda/brio/2022-honda-brio-satya-e-1.2/c3p9000,Automatic
YARIS S TRD 1.5,Toyota,2019,37.497 km,Jakarta Utara,208.000.000,https://carsome.id/beli-mobil-bekas/toyota/yaris/2019-toyota-yaris-s-trd-1.5/ckr9000,Automatic
CITY RS HATCHBACK 1.5,Honda,2021,25.160 km,Tangerang Selatan,221.000.000,https://carsome.id/beli-mobil-bekas/honda/city/2021-honda-city-rs-hatchback-1.5/cq17000,Manual
IGNIS GX 1.2,Suzuki,2017,103.106 km,Jakarta Utara,129.000.000,https://carsome.id/beli-mobil-bekas/suzuki/ignis/2017-suzuki-ignis-gx-1.2/cp97000,Automatic
ROCKY R 1.0,Daihatsu,2021,24.619 km,Tangerang Selatan,176.000.000,https://carsome.id/beli-mobil-bekas/daihatsu/rocky/2021-daihatsu-rocky-r-1.0/cya7000,Manual
TRAX TURBO LTZ 1.4,Chevrolet,2017,80.135 km,Jakarta Utara,171.000.000,https://carsome.id/beli-mobil-bekas/chevrolet/trax/2017-chevrolet-trax-turbo-ltz-1.4/cjn7000,Automatic
ERTIGA DREZA GS 1.4,Suzuki,2018,69.406 km,Tangerang Selatan,161.000.000,https://carsome.id/beli-mobil-bekas/suzuki/ertiga/2018-suzuki-ertiga-dreza-gs-1.4/cd39000,Automatic
XL7 BETA 1.5,Suzuki,2020,85.173 km,Jakarta Utara,188.000.000,https://carsome.id/beli-mobil-bekas/suzuki/xl7/2020-suzuki-xl7-beta-1.5/cnd9000,Automatic
XL7 BETA 1.5,Suzuki,2022,49.190 km,Jakarta Utara,203.000.000,https://carsome.id/beli-mobil-bekas/suzuki/xl7/2022-suzuki-xl7-beta-1.5/czf9000,Automatic
AVANZA VELOZ Q TSS 1.5,Toyota,2021,51.278 km,Jakarta Utara,238.000.000,https://carsome.id/beli-mobil-bekas/toyota/avanza/2021-toyota-avanza-veloz-q-tss-1.5/c4l9000,Automatic
HR-V E PLUS 1.5,Honda,2020,32.308 km,Jakarta Utara,248.000.000,https://carsome.id/beli-mobil-bekas/honda/hr-v/2020-honda-hr-v-e-plus-1.5/cnl9000,Automatic
RUSH S TRD SPORTIVO 1.5,Toyota,2019,79.517 km,Jakarta Utara,203.000.000,https://carsome.id/beli-mobil-bekas/toyota/rush/2019-toyota-rush-s-trd-sportivo-1.5/crn9000,Automatic
HR-V SE 1.5,Honda,2023,22.165 km,Jakarta Utara,352.000.000,https://carsome.id/beli-mobil-bekas/honda/hr-v/2023-honda-hr-v-se-1.5/cwm9000,Automatic
AGYA G TRD 1.2,Toyota,2019,33.663 km,Tangerang Selatan,124.000.000,https://carsome.id/beli-mobil-bekas/toyota/agya/2019-toyota-agya-g-trd-1.2/cqo9000,Automatic
SIGRA R STD 1.2,Daihatsu,2020,39.534 km,Bekasi,128.000.000,https://carsome.id/beli-mobil-bekas/daihatsu/sigra/2020-daihatsu-sigra-r-std-1.2/c3o9000,Automatic
KARIMUN GS 1.0,Suzuki,2018,83.751 km,Bekasi,107.000.000,https://carsome.id/beli-mobil-bekas/suzuki/karimun/2018-suzuki-karimun-gs-1.0/caq9000,Automatic
2 GT 1.5,Mazda,2017,72.234 km,Jakarta Utara,184.000.000,https://carsome.id/beli-mobil-bekas/mazda/2/2017-mazda-2-gt-1.5/ctp9000,Automatic
